episode,total_reward,epsilon
600,-10.2200,0.40569
601,-11.6600,0.40508
602,-16.9400,0.40447
603,-13.1000,0.40386
604,-14.5400,0.40326
605,-5.9000,0.40265
606,-16.9400,0.40205
607,-10.7000,0.40145
608,-17.4200,0.40084
609,-17.4200,0.40024
610,-19.8200,0.39964
611,6.8200,0.39904
612,3.1000,0.39844
613,-13.5800,0.39785
614,-9.2600,0.39725
615,-8.7800,0.39665
616,-14.0600,0.39606
617,-15.5000,0.39546
618,-7.3400,0.39487
619,-8.3000,0.39428
620,-12.6200,0.39369
621,-14.0600,0.39310
622,-16.9400,0.39251
623,-12.6200,0.39192
624,-14.5400,0.39133
625,-5.9000,0.39074
626,-6.3800,0.39016
627,9.4800,0.38957
628,-27.0200,0.38899
629,-7.3400,0.38840
630,-15.9800,0.38782
631,-15.5000,0.38724
632,-10.7000,0.38666
633,-6.3800,0.38608
634,-12.6200,0.38550
635,-12.6200,0.38492
636,-6.8600,0.38434
637,-14.5400,0.38377
638,-15.5000,0.38319
639,-19.3400,0.38262
640,-14.0600,0.38204
641,-10.7000,0.38147
642,-12.6200,0.38090
643,-5.9000,0.38033
644,9.9200,0.37976
645,-14.5400,0.37919
646,-8.3000,0.37862
647,-5.9000,0.37805
648,-7.8200,0.37748
649,-10.2200,0.37692
650,-10.2200,0.37635
651,-6.3800,0.37579
652,-14.0600,0.37522
653,-5.9000,0.37466
654,-15.5000,0.37410
655,7.8000,0.37354
656,8.9800,0.37298
657,-15.5000,0.37242
658,-14.0600,0.37186
659,-6.3800,0.37130
660,-11.6600,0.37074
661,-13.5800,0.37019
662,-10.7000,0.36963
663,-9.2600,0.36908
664,-8.3000,0.36852
665,-12.6200,0.36797
666,-15.9800,0.36742
667,-9.7400,0.36687
668,4.7000,0.36632
669,-16.9400,0.36577
670,-10.2200,0.36522
671,-11.1800,0.36467
672,-9.2600,0.36413
673,-10.2200,0.36358
674,-11.6600,0.36303
675,-11.6600,0.36249
676,-9.7400,0.36195
677,-13.1000,0.36140
678,-6.8600,0.36086
679,-13.1000,0.36032
680,9.9800,0.35978
681,-7.3400,0.35924
682,-10.2200,0.35870
683,-13.5800,0.35816
684,-14.0600,0.35762
685,3.9200,0.35709
686,-5.4200,0.35655
687,-9.7400,0.35602
688,-15.9800,0.35548
689,-9.7400,0.35495
690,5.5400,0.35442
691,-5.4200,0.35389
692,4.9000,0.35336
693,-13.1000,0.35283
694,-14.5400,0.35230
695,-14.0600,0.35177
696,-7.3400,0.35124
697,-15.9800,0.35071
698,-3.9800,0.35019
699,-13.1000,0.34966
700,4.7600,0.34914
701,5.3200,0.34861
702,-12.6200,0.34809
703,-11.1800,0.34757
704,7.6600,0.34705
705,-7.8200,0.34653
706,9.9800,0.34601
707,-11.6600,0.34549
708,-12.6200,0.34497
709,-15.0200,0.34445
710,-13.1000,0.34394
711,-11.6600,0.34342
712,-13.5800,0.34290
713,-15.0200,0.34239
714,-10.2200,0.34188
715,-10.2200,0.34136
716,-7.3400,0.34085
717,-13.5800,0.34034
718,-10.7000,0.33983
719,-8.7800,0.33932
720,-11.6600,0.33881
721,-10.2200,0.33830
722,-14.0600,0.33780
723,-13.5800,0.33729
724,-16.4600,0.33678
725,-12.1400,0.33628
726,-8.7800,0.33577
727,-13.1000,0.33527
728,-12.6200,0.33477
729,-12.6200,0.33426
730,6.9000,0.33376
731,-12.6200,0.33326
732,7.8600,0.33276
733,-13.1000,0.33226
734,-13.5800,0.33177
735,-13.1000,0.33127
736,-12.6200,0.33077
737,-15.9800,0.33027
738,-9.2600,0.32978
739,-8.7800,0.32928
740,-8.7800,0.32879
741,8.3000,0.32830
742,-7.8200,0.32780
743,-10.7000,0.32731
744,-7.3400,0.32682
745,-12.1400,0.32633
746,-9.7400,0.32584
747,-8.3000,0.32535
748,-24.1400,0.32487
749,-10.2200,0.32438
750,-11.1800,0.32389
751,-13.1000,0.32341
752,8.7000,0.32292
753,-7.3400,0.32244
754,9.8200,0.32195
755,-7.3400,0.32147
756,-7.8200,0.32099
757,-13.1000,0.32051
758,-9.2600,0.32003
759,-13.5800,0.31955
760,-15.0200,0.31907
761,-10.7000,0.31859
762,-5.4200,0.31811
763,-12.6200,0.31763
764,-7.8200,0.31716
765,-14.0600,0.31668
766,-8.7800,0.31621
767,-12.6200,0.31573
768,-11.6600,0.31526
769,-12.6200,0.31478
770,5.1400,0.31431
771,-9.2600,0.31384
772,-14.5400,0.31337
773,-13.1000,0.31290
774,-10.2200,0.31243
775,-11.6600,0.31196
776,-11.6600,0.31149
777,-11.6600,0.31103
778,-12.6200,0.31056
779,-13.1000,0.31009
780,9.8200,0.30963
781,-11.1800,0.30916
782,-6.3800,0.30870
783,-11.1800,0.30824
784,9.3200,0.30778
785,-7.3400,0.30731
786,-7.3400,0.30685
787,-6.8600,0.30639
788,7.7000,0.30593
789,-7.3400,0.30547
790,-6.8600,0.30502
791,-6.8600,0.30456
792,-7.3400,0.30410
793,-11.6600,0.30365
794,-11.1800,0.30319
795,-13.1000,0.30274
796,9.4400,0.30228
797,-9.7400,0.30183
798,-12.6200,0.30138
799,-9.7400,0.30092
800,-9.2600,0.30047
801,-14.0600,0.30002
802,-12.1400,0.29957
803,-9.7400,0.29912
804,-11.6600,0.29867
805,-14.0600,0.29822
806,-10.7000,0.29778
807,-12.6200,0.29733
808,9.4200,0.29688
809,-9.2600,0.29644
810,-12.6200,0.29599
811,-12.6200,0.29555
812,-10.7000,0.29511
813,-12.1400,0.29466
814,-11.6600,0.29422
815,-11.1800,0.29378
816,-15.9800,0.29334
817,-6.8600,0.29290
818,-7.8200,0.29246
819,-9.7400,0.29202
820,-10.7000,0.29158
821,-12.1400,0.29115
822,-8.7800,0.29071
823,8.8000,0.29027
824,-10.2200,0.28984
825,-5.9000,0.28940
826,9.9000,0.28897
827,-11.1800,0.28854
828,-8.3000,0.28810
829,-5.4200,0.28767
830,-13.5800,0.28724
831,-12.1400,0.28681
832,-9.2600,0.28638
833,7.7800,0.28595
834,-4.4600,0.28552
835,-12.1400,0.28509
836,-4.9400,0.28466
837,-6.3800,0.28424
838,9.9400,0.28381
839,-16.4600,0.28339
840,9.4400,0.28296
841,-11.1800,0.28254
842,9.9400,0.28211
843,-10.2200,0.28169
844,2.3000,0.28127
845,-10.2200,0.28084
846,3.2600,0.28042
847,-6.3800,0.28000
848,-9.2600,0.27958
